14,23,24,25,28,29,32,33,36,37,39,40,41,44,45,66,68,74,80,89,90,91,98,99,102,103,136,137,y
418851.49,3,5,2,29,28,22,11,149,78,0,6,6,1,1,2,2,1288.14,365859.88,3,5,2,22,13,147,86,1,40,0
0.0,3,5,2,31,30,22,13,151,90,0,6,6,1,1,9,6,0.01,14.1,3,5,2,22,13,151,90,0,26,0
0.0,3,5,2,31,30,22,11,147,75,0,6,6,1,1,3,1,0.01,19.95,3,5,2,22,11,147,78,1,49,0
3107.22,3,5,2,30,29,22,12,151,89,0,6,6,1,1,5,4,1254.32,10747.96,3,5,2,22,11,152,79,0,39,0
0.0,3,5,2,29,28,21,12,140,79,0,6,6,1,1,3,3,1.0,9996.93,3,5,2,21,9,139,57,1,48,0
0.0,3,5,2,31,30,22,13,152,91,0,6,6,1,1,13,10,9.9,12.7,3,5,2,22,12,152,90,1,30,0
0.07,3,5,2,30,28,22,10,151,75,0,5,5,0,0,2,1,11.97,358.06,3,5,2,22,13,152,91,1,49,0
0.03,3,5,2,31,27,22,11,151,82,0,6,6,1,1,3,3,100.0,880.03,3,5,2,22,11,151,81,1,32,0
93.25,3,5,2,28,20,21,11,143,75,1,6,5,1,1,3,3,2000.0,3093.25,3,5,2,21,11,140,73,1,38,0
3.52,3,5,2,30,27,22,12,151,88,0,6,6,1,1,4,4,400.0,403.52,3,5,2,22,11,151,76,1,58,0
10.01,3,5,2,31,29,22,12,148,84,0,6,6,1,1,10,8,100.0,461.73,3,5,2,22,12,147,80,1,35,0
0.0,3,5,2,30,20,22,10,151,71,4,6,2,1,1,3,2,1032.77,1033.0,3,5,2,22,11,147,72,0,34,0
0.0,3,5,2,30,28,18,7,123,49,0,6,6,1,1,2,2,0.01,0.75,4,4,0,17,3,116,22,1,43,0
220.61,3,5,2,31,30,22,13,152,91,0,6,6,1,1,4,4,170.0,2208.61,3,5,2,20,10,138,75,0,31,0
1.04,3,5,2,31,17,22,8,152,61,0,6,6,1,1,4,4,50.0,51.04,3,5,2,22,8,152,61,0,33,0
2.13,3,5,2,31,30,22,10,152,71,0,6,6,1,1,3,4,9.9,36.03,3,5,2,22,10,150,69,1,37,0
274.02,3,5,2,31,30,22,13,152,91,0,6,6,1,1,6,4,1000.0,4584.56,3,5,2,22,11,148,77,0,63,0
0.0,3,5,2,30,28,21,10,144,69,0,6,6,1,1,6,4,0.16,19.03,3,5,2,21,10,143,68,0,30,0
310904.99,3,5,2,31,30,21,11,140,77,0,6,6,1,1,4,4,22.19,312904.99,3,5,2,20,11,137,76,0,30,0
1849.6,3,5,2,31,29,22,12,152,90,0,6,6,1,1,4,4,18.3,3764.56,3,5,2,21,10,145,75,0,28,0
0.0,3,5,2,29,25,21,11,144,80,0,6,6,1,1,8,5,0.03,40.39,3,5,2,22,11,151,76,0,51,0
50.64,3,5,2,29,26,22,12,150,87,0,6,6,1,1,3,2,3.99,220.7,3,5,2,22,13,152,91,1,25,0
6.07,3,5,2,31,30,22,13,151,90,0,6,6,1,1,4,4,13.11,520.48,3,5,2,22,12,150,87,1,26,0
0.0,3,5,2,31,30,22,12,152,90,0,6,6,1,1,10,10,50.0,148.06,3,5,2,22,12,152,85,0,40,0
52.97,3,5,2,31,30,22,12,150,87,0,6,6,1,1,7,6,12.0,1857.56,3,5,2,22,12,150,87,0,37,0
7.6,3,5,2,30,29,22,13,148,87,0,6,6,1,1,3,2,80.0,107.6,3,5,2,22,12,148,81,0,28,0
1.38,3,5,2,31,30,22,12,152,90,0,6,6,1,1,7,6,0.1,375.8,3,5,2,22,12,150,84,1,28,0
29939.14,3,5,2,30,29,22,13,151,90,0,6,6,1,1,5,5,18.29,34586.85,3,5,2,20,9,136,61,1,29,0
41.93,3,5,2,31,30,22,13,152,91,0,6,6,1,1,2,2,200.26,666.93,3,5,2,22,9,152,63,0,43,0
0.0,3,5,2,31,30,22,13,152,91,0,6,6,1,1,18,12,20.0,188.83,3,5,2,22,12,152,88,1,41,0
10.59,3,5,2,31,30,20,10,137,75,0,6,6,1,1,4,4,75.15,359.11,3,5,2,19,8,131,61,1,24,0
