0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49,50,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,114,115,116,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,y
2,15,2,2,2,212093.3,14139.55333,116724,500,28937.8486,116224,9201259.08,613417.272,735585.39,418851.49,117111.8523,316733.9,4.8,6,0,2.484236014,6,4.266666667,3,5,2,13.66666667,1,29,28,16.8,11,22,11,112.5333333,71,149,78,2.933333333,0,6,6,0.133333333,0,1,1,0.066666667,1,1,0,0,0,12.6,3,21,18,29.4,2,56,54,785.4,233,1314,1081,2,13,2,2,2,566358.37,43566.02846,120000,1288.14,48893.57574,118711.86,7668300.93,589869.3023,755477.54,365859.88,143758.7343,389617.66,4.615384615,6,0,2.631174058,6,4.076923077,3,5,2,7.538461538,1,26,25,15,9,22,13,100.5384615,61,147,86,3.538461538,0,6,6,0.153846154,0,1,1,0.307692308,1,1,0,0,0,12.07692308,0,20,20,36,4,53,49,760.6153846,34,1204,1170,2018,3,28,42,1,40,0
51,439,11,3,4,486029.17,1107.12795,16500,0.01,2023.53129,16499.99,1486329.6,3385.716629,18671.92,0,3887.23163,18671.92,17.36218679,45,0,9.083254237,45,3.820045558,3,5,2,14.46924829,1,31,30,14.9453303,9,22,13,99.64464692,61,151,90,3.027334852,0,6,6,0.120728929,0,1,1,0.020501139,1,1,0.009111617,1,1,13.71981777,0,23,23,28.14350797,0,59,59,851.332574,4,1439,1435,9,212,6,4,5,485766.44,2291.351132,7500,0.01,1949.746762,7499.99,1075690.79,5074.01316,21835.92,14.1,4447.79612,21821.82,31.01886792,45,9,7.456643886,36,3.58490566,3,5,2,13.57075472,1,31,30,13.81132075,9,22,13,91.56132075,61,151,90,2.882075472,0,6,6,0.136792453,0,1,1,0.037735849,1,1,0.014150943,1,1,12.14150943,0,23,23,25.76415094,0,59,59,754.254717,1,1431,1430,2015,7,8,331,0,26,0
25,98,17,4,5,2256709.57,23027.64867,89903,-28000,21187.27035,117903,2867004.13,29255.14418,132899.59,0,35172.17087,132899.59,9.857142857,45,0,7.498453449,45,3.714285714,3,5,2,18.23469388,1,31,30,15.02040816,11,22,11,100.255102,72,147,75,3.112244898,0,6,6,0.132653061,0,1,1,0.030612245,1,1,0.020408163,1,1,14.82653061,3,22,19,26.40816327,0,59,59,916,199,1344,1145,3,348,1,1,1,2256706.18,6484.787874,49376.25,0.01,11210.00542,49376.24,18589123.41,53417.02129,161695.59,19.95,40929.2322,161675.64,24.02586207,33,24,0.482450641,9,3.566091954,3,5,2,17.80172414,1,31,30,14.35632184,11,22,11,95.27873563,69,147,78,2.784482759,0,6,6,0.149425287,0,1,1,0.005747126,1,1,0.011494253,1,1,14.78448276,8,23,15,28.82471264,0,59,59,915.8936782,519,1400,881,2017,5,7,328,1,49,0
13,37,11,3,4,33104.95,894.7283784,10000,50,1952.795081,9950,462622.26,12503.30432,26945.91,3107.22,5533.636378,23838.69,28.59459459,45,9,15.07289595,36,3.891891892,3,5,2,15.59459459,1,30,29,15.48648649,10,22,12,102.972973,62,151,89,2.567567568,0,6,6,0.081081081,0,1,1,0.027027027,1,1,0,0,0,11.05405405,8,20,12,14.56756757,1,59,58,677.8108108,490,1221,731,5,8,4,2,2,45871.74,5733.9675,18000,1254.32,5401.671946,16745.68,153332.39,19166.54875,31834.91,10747.96,8750.226053,21086.95,29.25,51,9,21.73706512,42,4.25,3,5,2,20,1,31,30,17.5,11,22,11,118.375,73,152,79,3.875,2,6,4,0.25,0,1,1,0.25,1,1,0.5,1,1,16,11,19,8,25.375,9,57,48,985.375,681,1155,474,2016,2,9,172,0,39,0
5,15,5,2,2,301668.97,20111.26467,50000,110,19406.95014,49890,293786.82,19585.788,100000,0,29132.68294,100000,4,6,0,2.927700219,6,3.8,3,5,2,20.6,1,29,28,15.73333333,9,21,12,105.2,61,140,79,3.066666667,0,6,6,0.266666667,0,1,1,0.066666667,1,1,0,0,0,11.33333333,2,21,19,33.93333333,7,52,45,713.9333333,127,1309,1182,3,11,3,2,2,292432.15,26584.74091,50000,1,18167.5809,49999,527117.82,47919.80182,109996.93,9996.93,30775.70909,100000,4.363636364,36,0,10.76357494,36,4.090909091,3,5,2,21.81818182,1,29,28,17.18181818,12,21,9,115.3636364,82,139,57,3.090909091,0,6,6,0.181818182,0,1,1,0.090909091,1,1,0,0,0,10.81818182,10,11,1,11.36363636,0,38,38,660.4545455,610,698,88,2013,10,8,77,1,48,0
23,77,14,5,10,253485.11,3292.014416,50000,7.88,9865.659729,49992.12,638261.26,8289.107273,55748.88,0,9784.614828,55748.88,15.20779221,72,0,17.46827023,72,4.103896104,3,5,2,14.61038961,1,31,30,16.15584416,9,22,13,108.3896104,61,152,91,3.298701299,0,6,6,0.103896104,0,1,1,0.025974026,1,1,0.025974026,1,1,10.5974026,2,23,21,27.8961039,1,59,58,663.7402597,126,1419,1293,13,51,10,9,13,102680.38,2013.340784,17253.76,9.9,3556.639563,17243.86,462542.69,9069.46451,73574.52,12.7,12970.30053,73561.82,25.05882353,42,0,13.15661319,42,4.470588235,3,5,2,15.80392157,1,31,30,17.98039216,10,22,12,120.7647059,62,152,90,2.901960784,0,6,6,0.137254902,0,1,1,0.058823529,1,1,0.078431373,1,1,13.96078431,6,23,17,31.98039216,0,59,59,869.627451,361,1401,1040,2014,12,27,94,1,30,0
8,26,5,3,3,56033.27,2155.125769,30000,0.01,6233.641172,29999.99,92181.69,3545.449615,10999.75,0.07,3585.791924,10999.68,18.92307692,42,12,8.084172571,30,4.615384615,3,5,2,17.92307692,2,30,28,18.92307692,12,22,10,127.3076923,76,151,75,2.846153846,0,5,5,0,0,0,0,0,0,0,0,0,0,12.65384615,2,22,20,26.30769231,1,53,52,785.5384615,164,1322,1158,2,85,1,1,2,50363.71,592.5142353,19940.01,11.97,2146.616544,19928.04,769396.8,9051.727059,33724.48,358.06,6334.321353,33366.42,41.50588235,42,0,4.555539614,42,3.964705882,3,5,2,14,1,31,30,15.50588235,9,22,13,103.5529412,61,152,91,3.011764706,0,6,6,0.247058824,0,1,1,0.047058824,1,1,0.082352941,1,1,12.45882353,7,22,15,26.27058824,2,58,56,773.8,444,1374,930,2017,5,26,140,1,49,0
5,14,5,3,4,20402,1457.285714,6891.1,29.9,1918.122381,6861.2,13291.5,949.3928571,7021.03,0.03,1909.685236,7021,12.92857143,36,0,10.30656464,36,3.428571429,3,5,2,19.07142857,4,31,27,13.92857143,11,22,11,92.21428571,69,151,82,2.714285714,0,6,6,0.142857143,0,1,1,0,0,0,0.142857143,1,1,15.35714286,7,23,16,23.5,0,57,57,944.9285714,460,1380,920,3,10,3,3,3,20160,2016,8500,100,2694.068382,8400,44474.64,4447.464,13912.13,880.03,5481.969219,13032.1,6,6,6,0,0,3.5,3,5,2,21.4,10,31,21,14.5,11,22,11,96.7,70,151,81,3.2,1,6,5,0.2,0,1,1,0,0,0,0.1,1,1,15.7,12,18,6,19,1,39,38,961,757,1101,344,2018,2,9,57,1,32,0
2,11,2,2,2,148400,13490.90909,30000,400,9695.922292,29600,24620.53,2238.23,20093.25,93.25,5963.376073,20000,0.818181818,9,0,2.713602101,9,3.818181818,3,5,2,18.09090909,8,28,20,15.45454545,10,21,11,103.2727273,68,143,75,3.090909091,1,6,5,0.272727273,0,1,1,0,0,0,0,0,0,3.181818182,2,15,13,20.54545455,11,40,29,211.4545455,131,940,809,3,12,3,1,1,148300,12358.33333,27000,2000,8364.694021,25000,170612.04,14217.67,30093.25,3093.25,8778.465801,27000,9,9,9,0,0,3.916666667,3,5,2,16.25,7,27,20,15.66666667,10,21,11,104.4166667,67,140,73,2.75,0,6,6,0.166666667,0,1,1,0,0,0,0,0,0,15.66666667,6,22,16,34.83333333,4,58,54,974.8333333,418,1375,957,2018,6,1,253,1,38,0
